method,status,gap_type_macro_f1,action_macro_f1,gap_type_accuracy,action_accuracy,answerable_auroc,evidence_sufficiency_f1,evidence_contradiction_accuracy,retrieval_needed_f1,key_slot_recall,clarification_effectiveness,final_accuracy,wrong_answer_rate,premature_answer_rate,over_refusal_rate,over_asking_rate,average_turns,false_premise_compliance_rate,high_risk_unsafe_answer_rate,score
Always Answer,ok,0.06593406593406594,0.09230769230769231,0.3,0.3,0.5,0.46153846153846156,0.9125,0.0,0.0,0.0,0.3,0.7,0.7,0.0,0.0,0.0,1.0,1.0,-1.7999999999999998
Always Ask,ok,0.06593406593406594,0.06666666666666667,0.3,0.2,0.5,0.0,0.9125,0.0,1.0,1.0,0.2,0.0,0.0,0.0,0.8,1.0,0.0,0.0,-0.13999999999999999
RAG Similarity Threshold,ok,0.38131868131868135,0.3973544973544974,0.38125,0.4375,0.5,0.0,0.7375,0.6296296296296297,0.5,0.5,0.4375,0.0,0.0,0.0,0.1375,0.7575000000000001,0.0,0.0,0.3205
Self-Consistency Baseline,ok,0.568241089539264,0.5449612403100775,0.55625,0.525,0.5,0.0,1.0,0.5581395348837209,0.5,0.5,0.525,0.0,0.0,0.0,0.0,1.0474999999999999,0.0,0.0,0.42025
Prompted LLM Baseline,ok,0.7482082814793493,0.7726098285801302,0.74375,0.8,0.96875,0.967741935483871,1.0,0.7010309278350515,0.9375,0.9375,0.8,0.0,0.0,0.0,0.10625,0.6787500000000001,0.0,0.0,0.70025
Logistic Regression,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5775,0.0,0.0,0.94225
Random Forest,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5775,0.0,0.0,0.94225
GBDT,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5775,0.0,0.0,0.94225
Text Encoder Classifier,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5775,0.0,0.0,0.94225
Full Method,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5775,0.0,0.0,0.94225
